"Tax_ID";"Density";"Year";"Site";"Latitude";"Longitude";"DatasetID";"Area";"Country";"Method";"Size_type"
"Epinephelus cruentatus";9;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";13;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";13;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus striatus";2;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus chlorurus";2;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus chlorurus";2;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus chlorurus";3;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus chlorurus";2;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus chlorurus";2;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus chlorurus";1;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus guttavarius";2;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus guttavarius";1;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus guttavarius";2;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus guttavarius";3;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus guttavarius";2;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus guttavarius";1;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus guttavarius";2;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus guttavarius";3;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus nigricans";3;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus nigricans";1;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus nigricans";1;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus nigricans";4;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus nigricans";7;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus nigricans";1;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus nigricans";1;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus nigricans";2;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";12;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";16;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";15;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";23;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";17;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";28;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";6;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";21;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus puella";15;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus unicolor";2;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus unicolor";2;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus unicolor";1;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus sp (black)";2;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus sp (black)";1;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Paranthias furcifer";1;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tabacarius";1;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tigrinus";3;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tigrinus";3;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tigrinus";2;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tigrinus";1;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tigrinus";3;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tigrinus";1;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tigrinus";2;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Serranus tigrinus";1;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Liopropoma rubre";1;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Heteropriacanthus cruentatus";1;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Heteropriacanthus cruentatus";4;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Caranx latus";1;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Carangoides ruber";1;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Carangoides ruber";1;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Carangoides ruber";2;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Carangoides ruber";1;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Carangoides ruber";2;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Carangoides ruber";4;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Carangoides ruber";4;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Carangoides ruber";4;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Decapterus cf punctatus";44;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";4;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";2;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";2;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";2;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";15;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";12;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";26;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";18;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Ocyurus chrysurus";4;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Lutjanus apodus";3;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Lutjanus apodus";2;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Lutjanus griseus";3;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Lutjanus griseus";1;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Lutjanus griseus";1;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Lutjanus griseus";3;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Lutjanus griseus";1;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Lutjanus mahogoni";1;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Haemulon aurolineatum";2;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Haemulon aurolineatum";2;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Haemulon carbonarium";2;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Haemulon carbonarium";1;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
